verified,musicOriginal,hashtags,mentions,duration,hour,dayOfTheWeek,shareCount,commentCount,playCount,count_mean
0,0,5,0,7,15,6,231,125,132300,132300.0
0,0,5,0,7,17,7,62,42,46800,46800.0
0,0,5,0,7,19,2,125,111,179000,179000.0
0,0,5,0,9,1,3,1153,81,269900,269900.0
0,0,5,0,9,11,3,32,60,201400,201400.0
0,0,5,0,10,2,5,18,285,105100,105100.0
0,0,5,0,10,19,6,28,60,34300,34300.0
0,0,5,0,12,15,4,1926,195,285700,285700.0
0,0,5,0,12,17,7,58,61,69300,69300.0
0,0,5,0,13,0,4,56,88,67000,67000.0
0,0,5,0,13,21,4,39,82,33800,33800.0
0,0,5,0,14,8,2,20000,12500,50500000,50500000.0
0,0,5,0,14,23,4,58,183,83500,83500.0
0,0,5,0,15,11,6,5,0,51900,51900.0
0,0,5,0,15,16,4,410,25,95000,95000.0
0,0,5,0,19,16,6,159,96,47300,47300.0
0,0,5,0,20,13,6,46,114,41900,41900.0
0,0,5,0,22,11,1,2421,709,1900000,1900000.0
0,0,5,0,24,17,7,5077,152,684000,684000.0
0,0,5,1,7,11,6,21,91,82700,82700.0
0,0,5,1,15,13,7,6,35,80600,80600.0
0,0,5,1,21,14,3,733,182,147500,147500.0
0,0,5,1,44,1,3,75,273,64000,64000.0
0,0,5,2,10,16,5,18,51,47000,47000.0
0,0,6,0,7,22,7,14,107,96100,96100.0
0,0,6,0,8,1,5,9,67,52300,52300.0
0,0,6,0,8,4,5,389,17,86100,86100.0
0,0,6,0,8,23,4,99,77,306300,306300.0
0,0,6,0,9,12,5,18,94,89200,89200.0
0,0,6,0,9,14,3,5,76,32800,32800.0
0,0,6,0,9,20,7,518,414,197200,197200.0
0,0,6,0,10,9,2,3338,4367,1600000,1600000.0
0,0,6,0,10,13,2,7,19,47700,47700.0
0,0,6,0,10,17,5,6076,694,654200,654200.0
0,0,6,0,11,3,7,481,134,188500,188500.0
0,0,6,0,15,15,4,1283,287,76400,76400.0
0,0,6,0,16,13,7,447,370,139500,139500.0
0,0,6,0,19,14,2,21100,27100,15300000,15300000.0
0,0,6,0,21,17,6,1975,1473,1500000,1500000.0
0,0,6,0,26,15,4,342,81,39700,39700.0
0,0,6,0,41,19,4,87,77,175100,175100.0
0,0,6,1,8,15,4,51,22,35100,35100.0
0,0,6,1,9,18,6,18300,7471,5400000,5400000.0
0,0,6,1,14,17,3,235,874,309000,309000.0
0,0,6,1,42,22,2,26,721,65500,65500.0
0,0,6,1,54,14,1,1634,1243,1200000,1200000.0
0,0,6,3,29,17,1,269,38,85900,85900.0
0,0,7,0,7,15,2,5,4,202900,202900.0
0,0,7,0,10,18,1,0,25,71300,71300.0
0,0,7,0,13,1,3,65,165,58500,58500.0
0,0,7,0,14,15,4,24,50,58900,58900.0
0,0,7,0,15,11,5,5,18,65700,65700.0
0,0,7,0,15,12,7,2,7,49000,49000.0
0,0,7,0,15,16,1,769,295,246900,246900.0
0,0,7,0,15,19,2,142,244,101800,101800.0
0,0,7,0,16,12,3,619,734,2600000,2600000.0
0,0,7,0,23,9,2,1,32,12800,12800.0
0,0,7,0,28,2,1,190,110,71000,71000.0
0,0,7,0,30,16,3,9,22,358500,358500.0
0,0,7,0,34,18,2,74,97,31000,31000.0
0,0,7,0,52,3,1,75,86,44100,44100.0
0,0,7,1,15,20,2,31,150,51000,51000.0
0,0,7,1,17,19,4,43,436,74000,74000.0
0,0,7,2,13,18,6,20,79,139400,139400.0
0,0,8,0,8,6,3,19,34,70600,70600.0
0,0,8,0,13,5,2,887,171,105700,105700.0
0,0,8,0,15,19,3,283,181,337000,337000.0
0,0,8,0,17,16,5,4,86,43500,43500.0
0,0,8,0,17,21,4,2315,1152,224900,224900.0
0,0,8,0,18,22,5,134,43,179900,179900.0
0,0,8,0,21,15,7,33,212,47500,47500.0
0,0,8,0,29,3,5,208,47,49300,49300.0
0,0,8,0,53,21,7,152,455,84100,84100.0
0,0,8,1,9,13,1,6902,2629,340500,340500.0
0,0,8,1,17,6,2,2,59,71400,71400.0
0,0,8,1,28,22,4,243,902,270600,270600.0
0,0,8,1,30,22,1,12,33,64300,64300.0
0,0,9,0,8,19,2,20,108,25200,25200.0
0,0,9,0,10,12,6,7,25,9282,9282.0
0,0,9,0,11,4,6,11,11,92400,92400.0
0,0,9,0,11,16,2,225,78,189100,189100.0
0,0,9,0,11,23,4,1486,373,1900000,1900000.0
0,0,9,0,14,17,5,8,27,26900,26900.0
0,0,9,0,14,21,1,302,85,201300,201300.0
0,0,9,0,15,10,2,14,24,91300,91300.0
0,0,9,0,15,11,1,29,201,120600,120600.0
0,0,9,0,16,22,1,1245,236,124400,124400.0
0,0,9,0,19,0,4,643,378,254300,254300.0
0,0,9,0,20,15,3,17,23,102800,102800.0
0,0,9,0,20,15,4,1,1,10600,10600.0
0,0,9,0,20,17,4,16,35,56700,56700.0
0,0,9,0,27,5,6,3311,1083,434600,434600.0
0,0,9,0,46,18,3,51,318,61100,61100.0
