verified,diggCount,musicOriginal,hashtags,mentions,duration,hour,dayOfTheWeek,shareCount,commentCount,playCount,count_mean,z_score
0,5875,1,0,0,56,22,2,274,203,59400,59400.0,-0.22999217976081396
0,5887,1,6,0,16,13,6,28,29,52700,52700.0,-0.23360677249845713
0,5898,1,12,0,17,13,4,689,31,171200,171200.0,-0.16967703527297712
0,5979,1,7,0,20,23,2,860,94,152600,152600.0,-0.17971157630583728
0,6013,0,3,0,10,17,3,57,102,27400,27400.0,-0.24725590626896043
0,6015,0,0,0,11,19,6,105,64,49600,49600.0,-0.23527919600393382
0,6025,1,9,0,10,15,3,177,217,18100,18100.0,-0.2522731767853905
0,6063,1,16,0,17,21,5,89,838,76500,76500.0,-0.22076687590802316
0,6101,1,2,1,55,17,3,20,184,73300,73300.0,-0.22249324855883781
0,6103,1,10,0,8,11,1,52,438,35800,35800.0,-0.242724178060572
0,6111,1,4,0,9,10,5,16,207,62800,62800.0,-0.22815790881932338
0,6126,1,0,0,15,8,5,10,188,74700,74700.0,-0.2217379605241064
0,6127,0,5,0,7,19,2,125,111,179000,179000.0,-0.16546900193661643
0,6130,1,7,0,15,11,5,31,111,55500,55500.0,-0.23209619642899432
0,6144,1,7,1,10,16,1,61,25,25000,25000.0,-0.24855068575707143
0,6153,1,4,1,54,15,5,8,36,61800,61800.0,-0.22869740027270297
0,6199,1,7,1,47,17,4,294,288,50700,50700.0,-0.23468575540521627
0,6217,0,4,0,33,16,5,120,228,123500,123500.0,-0.195410777599183
0,6239,0,10,0,9,23,7,53,89,106200,106200.0,-0.2047439797426497
0,6268,0,3,1,10,21,2,26,68,45700,45700.0,-0.23738321267211418
0,6270,1,6,0,21,15,6,75,226,52700,52700.0,-0.23360677249845713
0,6274,1,4,0,8,19,1,636,173,1400000,1400000.0,0.49325006263984833
0,6276,1,12,0,12,21,5,320,50,129900,129900.0,-0.1919580322975537
0,6289,0,9,0,46,18,3,51,318,61100,61100.0,-0.22907504429006867
0,6289,1,7,0,10,1,6,23,66,86900,86900.0,-0.21515616479287555
0,6319,0,11,1,21,18,5,5,91,52600,52600.0,-0.2336607216437951
0,6403,1,7,0,59,19,5,48,171,34500,34500.0,-0.24342551694996545
0,6447,1,15,0,50,16,5,719,147,81000,81000.0,-0.21833916436781506
0,6454,1,6,0,15,14,5,19,107,63200,63200.0,-0.22794211223797156
0,6529,0,12,0,13,18,3,18,30,73600,73600.0,-0.22233140112282393
0,6629,1,4,0,15,19,2,92,1166,61500,61500.0,-0.22885924770871685
0,6643,1,11,0,14,18,6,178,138,19300,19300.0,-0.25162578704133504
0,6667,1,8,1,42,11,6,3,35,60900,60900.0,-0.2291829425807446
0,6682,1,9,0,15,22,1,11,34,56100,56100.0,-0.23177250155696655
0,6691,1,10,0,15,18,3,8,112,66200,66200.0,-0.22632363787783283
0,6834,0,6,0,9,14,3,5,76,32800,32800.0,-0.24434265242071074
0,6842,1,5,1,45,0,2,107,184,43700,43700.0,-0.23846219557887333
0,6858,1,10,0,36,17,5,48,169,78500,78500.0,-0.219687893001264
0,6931,0,3,0,8,22,1,51,134,51100,51100.0,-0.23446995882386445
0,6940,1,9,0,28,15,7,238,81,136600,136600.0,-0.18834343955991054
0,6972,1,6,0,20,14,6,866,64,86200,86200.0,-0.21553380881024126
0,7001,0,9,0,20,17,4,16,35,56700,56700.0,-0.2314488066849388
0,7042,1,4,0,13,0,3,354,240,61200,61200.0,-0.2290210951447307
