videoId,text,createTime,hour,dayOfTheWeek,authorId,name,nickName,verified,musicId,musicName,musicAuthor,musicOriginal,webVideoUrl,videoUrl,duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags
6893910918913117441,"[ALERTA DE TRANSICIONES DIFÍCILES ⚠️❗️], etiqueta a tu 5@ amig@ y retalo a una batalla de transiciones 🤩❤️  #transition #fyp #viral #transitioner",1605113718,16,3,6836118020416832517,cesarshow2,Cesar Postigo,0,6741334392829937665,PYRO - Extended Mix,Chester Young & Castion,0,https://www.tiktok.com/@cesarshow2/video/6893910918913117441,https://v77.tiktokcdn.com/7ca09f870f0510e41d2277d197881175/5fe11a80/video/tos/alisg/tos-alisg-pve-0037c001/9687f71c45304e369e9caea09601319b/?a=1233&br=4042&bt=2021&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=202012211558100101901880171112A7AF&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M3l1NDllcHM0eDMzNjczM0ApOTZoOTNnN2U8NzY1NGg5ZGdgc2drcC9iYmpfLS1jMTRzczM1LS8vMDViM15hNC5jYF86Yw%3D%3D&vl=&vr=,14,11400,45,68100,294,0,4
6876156631651077381,Reply to @annikasuenner Stress acne for the win 😤😤😤,1600980017,21,4,6734812478507369477,_itsnate,Nathan Freihofer,1,6876156668653112070,original sound,Nathan Freihofer,1,https://www.tiktok.com/@_itsnate/video/6876156631651077381,https://v77.tiktokcdn.com/24b3d52fc56ec2643034b49790e503c3/5fe11a99/video/tos/useast2a/tos-useast2a-ve-0068c003/629431d1e1f44c6c977ff403c56c795c/?a=1233&br=1974&bt=987&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=202012211558100101901880171112A7AF&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=ajlkdGpyZjVqdzMzOzczM0ApOjM0ZzxmNzs4Nzg0OTlkM2dpZWAvLWcuNWpfLS1hMTZzc2EtLzRgYTBjYGJeNGFhNjY6Yw%3D%3D&vl=&vr=,39,157700,386,821200,1314,1,0
6897625010668637441,"[ ALERTA DE TRANSICIONES ⚠️⚠️], etiqueta a tu 3er @ para que use el audio y muestre su talento 💓💪🏻🌻 #transition #fyp #transitioner #peru #viral",1605978473,17,6,6836118020416832517,cesarshow2,Cesar Postigo,0,6841762900365839109,#HazLoTuyo,Netons,1,https://www.tiktok.com/@cesarshow2/video/6897625010668637441,https://v77.tiktokcdn.com/363c2b6a910d302ef60a3809932e9179/5fe11a8e/video/tos/alisg/tos-alisg-pve-0037c001/0386de7fcd4b48ae820e0ad6e69ccfad/?a=1233&br=3068&bt=1534&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=202012211558100101901880171112A7AF&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M3A5bHR2OW1ueDMzOjczM0ApNmUzZjgzZ2RpN2U3M2Q2ZGdnXnNwZ2ozZnBfLS02MTRzc2EtNWIxMWBgMTFeNmItYmM6Yw%3D%3D&vl=&vr=,28,17800,123,103000,281,0,5
6880694458552175874,Hit these to start your pull days #fyp #FallAesthetic #foryou #foryoupage #nutrition #fitness #gymshark #vans #bodybuilder,1602036522,3,3,6830062072786322437,evan_holmes_,Evan Holmes,0,6880694412393974529,original sound,Evan Holmes,1,https://www.tiktok.com/@evan_holmes_/video/6880694458552175874,https://v77.tiktokcdn.com/6dec494e5ec1277ea276ff5e665fc5b6/5fe11a9d/video/tos/alisg/tos-alisg-pve-0037c001/44428ccd7db94608898edd58befdf486/?a=1233&br=2686&bt=1343&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=202012211558100101901880171112A7AF&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M2ludGR1ajhsdzMzNzczM0ApZWVlOzRnZ2Q0Nzg0ZDU2OGcxb2EuY2lrM3JfLS1gMTRzczM2NmJfNC8zY19eLl9eMWI6Yw%3D%3D&vl=&vr=,43,2315,147,35700,31,0,9
6886291383246671109,@futbol.emanuel glad you’re okay! #greenscreenvideo #foryoupage #fyp #foryou #powerlifting #bodybuilding #bench #fitness #workout #fittok #powertok,1603339711,5,4,6809091326287905797,timmytimmadome,Tim Thebodeau,0,6886291434450717446,original sound,Tim Thebodeau,1,https://www.tiktok.com/@timmytimmadome/video/6886291383246671109,https://v77.tiktokcdn.com/5e7a1671d03aba44d9e736209884c553/5fe11aab/video/tos/useast2a/tos-useast2a-ve-0068c003/5aa86cb286ac4cf18b86b65fd0688dec/?a=1233&br=1830&bt=915&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=202012211558100101901880171112A7AF&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M2R5NXg3cndqeDMzZjczM0ApNzU3aDxoOzs5N2dmOTdnZGdebl5uM2NkXjVfLS0tMTZzc2BiY2M1YDVjL2A1Nl41LzM6Yw%3D%3D&vl=&vr=,57,23000,206,136600,103,1,11
6879837374927490306,මගේ බෲනෝ මැණිකගේ තාත්තා ARROW 💪,1601836966,19,7,6786091951809758214,shashika28,user4917381239787,0,250516688658493440,Lonely - UK Radio Edit,Akon,0,https://www.tiktok.com/@shashika28/video/6879837374927490306,https://v77.tiktokcdn.com/b38119cc7b6af8819efed2e047d0db80/5fe11aa0/video/tos/alisg/tos-alisg-pve-0037c001/cc19c179d0414abdbe8e7a15e4f38879/?a=1233&br=1110&bt=555&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=202012211558100101901880171112A7AF&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=MzprZ25meDk0dzMzMzczM0ApN2dlZjc3aGU8NztmNGY3OWdoai9mbWsuY3FfLS1jMTRzc2NiYzMyYDE0NF5eNDIyMmM6Yw%3D%3D&vl=&vr=,46,4945,22,60800,14,0,0
6889517297606708482,Reply to @bidenlikesmen2020 - my work here is done. One small victory at a time. One small step for man kind. #success #winning #legday #goals,1604090749,20,5,6730012831293572101,benjamin_robert_graham,Benjamin_Graham,0,6818434886832065286,Drake WE MADE IT,jalen 🧙🏾‍♂️,1,https://www.tiktok.com/@benjamin_robert_graham/video/6889517297606708482,https://v77.tiktokcdn.com/7da1305d157f14ffc5e9b9f798f2fb8c/5fe11a7c/video/tos/alisg/tos-alisg-pve-0037c001/fdb51cd69a7a431583a326b978b2dff4/?a=1233&br=1458&bt=729&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=202012211558100101901880171112A7AF&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=ajc6NnBlbXg6eDMzZDczM0ApaTQzOGc4ZWVnNzY3aDQ4N2dvLV9eM2o2amJfLS1fMTRzcy0zLzQwNTAzYC9iYDA2Mi86Yw%3D%3D&vl=&vr=,10,3573,7,25500,91,1,4
6879022410528541953,You can watch me! 😉😁,1601647217,15,5,6777160736173458437,stephgowie,StephGowie,0,6673023771957381894,original sound,Linda Vanhorn,1,https://www.tiktok.com/@stephgowie/video/6879022410528541953,https://v77.tiktokcdn.com/88d3558143b7c2db0fa55b301a41339c/5fe11a7e/video/tos/alisg/tos-alisg-pve-0037c001/5cf888fc64644d35b083eadeddcdd849/?a=1233&br=2928&bt=1464&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=202012211558100101901880171112A7AF&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M21uN2U7ZnRtdzMzOTczM0ApOTloN2dkPGU5NzQ4PDM5ZWdyZWQtX3FwMW9fLS1eMTRzczRfL2E1LzFiMzBfMDI1NjM6Yw%3D%3D&vl=&vr=,12,11100,20,143000,491,0,0
6888483056588508417,I’ll do a vid on bulking tips soon #fyp #foryou #foryoupage #fitness #bodybuilder #supplements #nutrition #workout #diet,1603849947,1,3,6830062072786322437,evan_holmes_,Evan Holmes,0,6769046027488987137,FEEL THE GROOVE,"Queens Road, Fabian Graetz",0,https://www.tiktok.com/@evan_holmes_/video/6888483056588508417,https://v77.tiktokcdn.com/22b94d741685bbf38f4d2c3ecbd205bd/5fe11aa7/video/tos/alisg/tos-alisg-pve-0037c001/ab680c02a57a407daa002963cb36332c/?a=1233&br=1528&bt=764&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=202012211558100101901880171112A7AF&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M2pkeG06bGlmeDMzNzczM0ApN2Q7NTNkZzw5NzloNmVnZmc0X3BlMm9jcWBfLS1fMTRzczZjMjYwYGIyXzVeYy8uLS46Yw%3D%3D&vl=&vr=,53,2021,78,25500,89,0,9
6905790048197758210,"100% body positive. Bra simply makes my shoulders hurt. And yes, they bounce... #bodypositivity #plussize",1607879544,17,7,6905435125069612033,lilydreamb,Lilydreamb,0,6532344186870434562,Bounce,Charli XCX,0,https://www.tiktok.com/@lilydreamb/video/6905790048197758210,https://v77.tiktokcdn.com/a3c22b6e8de8760267ccaae4afeae1cb/5fe11a83/video/tos/alisg/tos-alisg-pve-0037c001/cabd82ebff90490b856f92ce95541539/?a=1233&br=3408&bt=1704&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=202012211558110101890560341412945E&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M2s6eXBnNnY3eTMzNjczM0ApZ2Q3aTM3N2UzN2g8O2g4ZGdjNmoubTJgal9fLS0yMTRzcy82MjItNS0uLzU0NC0vLjM6Yw%3D%3D&vl=&vr=,15,249800,60800,4600000,11100,0,2
6878330292701121794,#nlunatics #yinyang_fantasyworld #terrorkanita #minions #stitch #hat #_littlestitch #comedy #makeyoulaugh #haveaniceday,1601486071,18,3,6762932988806054918,goofyqueen_kanita,The Goofy Queen Kanita,0,6620711949535562502,Prrr ahahah,💗 Jessi&Sean 💗,1,https://www.tiktok.com/@goofyqueen_kanita/video/6878330292701121794,https://v77.tiktokcdn.com/0ea92c750080d3750c7653a5bfa5e187/5fe11a83/video/tos/alisg/tos-alisg-pve-0037c001/724bfb36875b4664b316ca4cf7b63d73/?a=1233&br=3888&bt=1944&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=202012211558110101890560341412945E&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M3B0dGR1anVldzMzNzczM0ApNmdlNzU2ZjxnNzQzZzw1ZmdgbmEuY2ljbW5fLS1gMTRzcy81Yi4zM2I2MjJfLjIyY2E6Yw%3D%3D&vl=&vr=,15,426700,16100,5500000,4368,0,10
6891645928797703425,Ik moest vooral om m’n eigen hoofd lachen 😂 #juf #foryou #voorjou #school #ohno #trending,1604586359,14,4,6800676695185933317,juffie_iris,Juf Iris,0,6889106539748051717,original sound,Aydon Holley,1,https://www.tiktok.com/@juffie_iris/video/6891645928797703425,https://v77.tiktokcdn.com/a8bef57275e4cc69d2076d270473bdb6/5fe11a80/video/tos/alisg/tos-alisg-pve-0037c001/3f69a4c4c5d84b7d8035afbaf0e78593/?a=1233&br=1318&bt=659&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=202012211558110101890560341412945E&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=amR4cHY7dnYzeDMzZjczM0ApZGg1OTM2ZTtmNzc4PDczNmdwcnJfaS1zamZfLS1fMTRzc2IvLy8tLmBfNF5gYDQwMjM6Yw%3D%3D&vl=&vr=,12,74300,844,684200,1613,0,6
6898057246270328070,#duet  #justcurious #single #over30 #dating #men #WhenWeWereYounger #NeedToKnow,1606079140,21,7,6808270477624411141,kat_vt,Kat,0,6819255229129689090,The Office,The Hyphenate,0,https://www.tiktok.com/@kat_vt/video/6898057246270328070,https://v77.tiktokcdn.com/c2cbb383956a29f179f994c883960034/5fe11aa9/video/tos/useast2a/tos-useast2a-ve-0068c004/a674612d2f6d4f1b9936993039cf8e60/?a=1233&br=2166&bt=1083&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=202012211558110101890560341412945E&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M29ubW50NXRneDMzPDczM0ApaTw3aTZpZjxlNzc8ZGlpN2dncGVxcmtvMXFfLS02MTZzczY2MjMyLTBfYTQ0NjMtNGA6Yw%3D%3D&vl=&vr=,53,5207,152,84100,455,0,8
6906884442728516865,Wie dacht ook famous te kunnen worden met tiktok? #joeyvandenhoek #tiktoknl #famous #blijeeisquad #fy #3700 ❤️🙌🏼,1608134352,15,3,6806734892387337222,joeyvandenhoek,joeyvdhoek,0,6751489203890129670,Stages of tiktok,MM38: Entertainment & Coaching,1,https://www.tiktok.com/@joeyvandenhoek/video/6906884442728516865,https://v77.tiktokcdn.com/3afd77e05a166f2e0fb30ecffd7c1c3a/5fe11a7f/video/tos/alisg/tos-alisg-pve-0037c001/7afcec1468e54a15b4e5a47dee5212f4/?a=1233&br=2802&bt=1401&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=202012211558110101890560341412945E&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=MzRrbnk5dG01eTMzaTczM0ApaGVlMzdmOGQ2NztnNDlpZmdrcnEtNTQycWFfLS1gMTRzcy00LWM2Ml8yXmI2YF4zNTE6Yw%3D%3D&vl=&vr=,11,4328,3,34500,49,0,6
6899619652402449670,How To Look More Muscular In Your T-Shirt #tshirt #mensstyle,1606442912,2,5,6796612737268663302,alphamofficial,aaronmarino,0,6899619623247874822,original sound,aaronmarino,1,https://www.tiktok.com/@alphamofficial/video/6899619652402449670,https://v77.tiktokcdn.com/870cb25c9f7db0c00a997fc46f6d4395/5fe11a82/video/tos/useast2a/tos-useast2a-ve-0068c003/00db0513a8124c9aa86467b9844fd8d0/?a=1233&br=2162&bt=1081&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=202012211558110101890560341412945E&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M2U2NGZlaDU4eTMzOTczM0ApNTs4NGdoNmRmNzc6aDhlNmcvY2AxMjJncy1fLS0tMTZzcy4vYjU2XzI2M2A0NGEvNjA6Yw%3D%3D&vl=&vr=,15,47300,486,1100000,528,0,2
